#         t          x          y          z         vx         vy         vz
      0.000    -98.550   -120.020   -127.800    -28.240    173.930     91.530
      0.100   -100.987   -102.196   -118.168    -20.501    182.548    101.105
      0.200   -102.550    -83.496   -107.515    -10.750    191.445    111.962
      0.300   -103.002    -63.905    -95.700      1.707    200.378    124.337
      0.400   -102.024    -43.445    -82.561     17.841    208.825    138.445
      0.500    -99.184    -22.218    -67.921     38.962    215.718    154.356
      0.600    -93.905     -0.484    -51.621     66.615    218.969    171.642
      0.700    -85.483     21.210    -33.608    101.836    214.900    188.625
      0.800    -73.245     41.883    -14.110    142.920    198.569    201.335
      0.900    -56.975     60.189      6.167    182.489    167.553    204.189
      1.000    -37.342     74.961     26.091    210.171    127.885    194.296
      1.100    -15.691     85.830     44.660    222.837     89.485    177.080
      1.200      6.673     93.188     61.414    224.440     57.671    158.011
      1.300     28.886     97.719     76.317    219.838     32.967    140.042
      1.400     50.492    100.073     89.525    212.264     14.094    124.116
      1.500     71.279    100.758    101.245    203.482     -0.390    110.285
      1.600     91.172    100.156    111.674    194.383    -11.642     98.306
      1.700    110.161     98.549    120.984    185.400    -20.508     87.884
      1.800    128.268     96.144    129.316    176.731    -27.588     78.749
      1.900    145.527     93.099    136.787    168.454    -33.309     70.678
      2.000    161.979     89.535    143.495    160.589    -37.979     63.488
      2.100    177.665     85.544    149.521    153.129    -41.825     57.033
      2.200    192.624     81.203    154.933    146.051    -45.012     51.198
      2.300    206.893     76.569    159.787    139.326    -47.668     45.887
      2.400    220.506     71.691    164.133    132.927    -49.888     41.025
      2.500    233.493     66.609    168.011    126.825    -51.746     36.550
      2.600    245.884     61.357    171.459    120.994    -53.303     32.411
      2.700    257.704     55.961    174.508    115.408    -54.604     28.565
      2.800    268.977     50.447    177.185    110.047    -55.688     24.977
      2.900    279.724     44.833    179.515    104.890    -56.583     21.617
      3.000    289.964     39.138    181.519     99.918    -57.316     18.459
      3.100    299.716     33.377    183.216     95.116    -57.906     15.483
      3.200    308.995     27.563    184.624     90.469    -58.372     12.669
      3.300    317.817     21.708    185.757     85.964    -58.726     10.002
      3.400    326.195     15.823    186.630     81.588    -58.981      7.466
      3.500    334.141      9.917    187.256     77.332    -59.147      5.051
      3.600    341.666      3.998    187.646     73.184    -59.232      2.746
      3.700    348.782     -1.926    187.811     69.136    -59.244      0.540
      3.800    355.498     -7.848    187.759     65.180    -59.189     -1.574
      3.900    361.823    -13.761    187.500     61.308    -59.073     -3.603
      4.000    367.764    -19.660    187.042     57.513    -58.899     -5.555
      4.100    373.329    -25.538    186.393     53.789    -58.672     -7.435
      4.200    378.525    -31.391    185.558     50.130    -58.395     -9.249
      4.300    383.358    -37.215    184.546     46.530    -58.071    -11.001
      4.400    387.833    -43.003    183.361     42.984    -57.702    -12.696
      4.500    391.957    -48.753    182.009     39.488    -57.290    -14.338
      4.600    395.733    -54.459    180.496     36.037    -56.838    -15.929
      4.700    399.166    -60.119    178.826     32.626    -56.346    -17.474
      4.800    402.260    -65.727    177.003     29.251    -55.817    -18.975
      4.900    405.018    -71.280    175.033     25.910    -55.249    -20.436
      5.000    407.444    -76.775    172.918     22.597    -54.646    -21.858
      5.100    409.539    -82.207    170.663     19.309    -54.006    -23.243
      5.200    411.307    -87.574    168.271     16.044    -53.331    -24.594
      5.300    412.749    -92.872    165.746     12.797    -52.620    -25.913
      5.400    413.867    -98.096    163.090      9.566    -51.873    -27.201
      5.500    414.663   -103.244    160.307      6.348    -51.091    -28.460
      5.600    415.137   -108.313    157.399      3.139    -50.273    -29.692
      5.700    415.291   -113.297    154.370     -0.064    -49.418    -30.897
      5.800    415.124   -118.194    151.221     -3.263    -48.526    -32.077
      5.900    414.638   -123.001    147.956     -6.462    -47.596    -33.233
      6.000    413.832   -127.712    144.576     -9.664    -46.628    -34.366
      6.100    412.705   -132.324    141.084    -12.870    -45.619    -35.478
      6.200    411.257   -136.834    137.481    -16.086    -44.568    -36.567
      6.300    409.487   -141.236    133.771    -19.313    -43.475    -37.637
      6.400    407.394   -145.526    129.955    -22.554    -42.337    -38.686
      6.500    404.975   -149.701    126.035    -25.813    -41.153    -39.716
      6.600    402.230   -153.754    122.013    -29.094    -39.920    -40.727
      6.700    399.156   -157.682    117.890    -32.398    -38.635    -41.719
      6.800    395.749   -161.479    113.670    -35.731    -37.297    -42.693
      6.900    392.008   -165.139    109.353    -39.095    -35.902    -43.649
      7.000    387.928   -168.656    104.941    -42.495    -34.447    -44.586
      7.100    383.507   -172.025    100.436    -45.934    -32.929    -45.505
      7.200    378.739   -175.239     95.841    -49.416    -31.342    -46.405
      7.300    373.621   -178.290     91.156    -52.947    -29.683    -47.286
      7.400    368.147   -181.171     86.385    -56.531    -27.947    -48.147
      7.500    362.312   -183.875     81.528    -60.172    -26.127    -48.988
      7.600    356.110   -186.392     76.588    -63.877    -24.217    -49.807
      7.700    349.533   -188.714     71.568    -67.651    -22.211    -50.604
      7.800    342.576   -190.829     66.469    -71.501    -20.100    -51.376
      7.900    335.229   -192.728     61.294    -75.432    -17.875    -52.121
      8.000    327.485   -194.398     56.046    -79.454    -15.526    -52.838
      8.100    319.333   -195.826     50.728    -83.573    -13.041    -53.523
      8.200    310.765   -196.999     45.343    -87.799    -10.406    -54.172
      8.300    301.768   -197.899     39.896    -92.141     -7.607    -54.782
      8.400    292.330   -198.511     34.389    -96.609     -4.625    -55.346
      8.500    282.439   -198.814     28.829   -101.216     -1.441    -55.859
      8.600    272.080   -198.788     23.220   -105.973      1.970    -56.312
      8.700    261.236   -198.408     17.570   -110.895      5.636    -56.696
      8.800    249.891   -197.646     11.885   -115.997      9.589    -56.998
      8.900    238.027   -196.473      6.175   -121.296     13.869    -57.203
      9.000    225.622   -194.854      0.451   -126.810     18.523    -57.291
      9.100    212.653   -192.747     -5.275   -132.558     23.606    -57.218
      9.200    199.097   -190.108    -10.984   -138.560     29.187    -56.969
      9.300    184.927   -186.881    -16.658   -144.838     35.350    -56.503
      9.400    170.115   -183.003    -22.271   -151.412     42.199    -55.766
      9.500    154.629   -178.400    -27.794   -158.300     49.865    -54.686
      9.600    138.439   -172.981    -33.186   -165.512     58.512    -53.164
      9.700    121.511   -166.638    -38.398   -173.043     68.351    -51.064
      9.800    103.816   -159.238    -43.361   -180.857     79.652    -48.196
      9.900     85.330   -150.617    -47.985   -188.863     92.767    -44.290
     10.000     66.044   -140.572    -52.147   -196.855    108.140    -38.952
     10.100     45.981   -128.848    -55.675   -204.417    126.328    -31.604
