#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.359    173.993     93.314
      0.002    -98.657   -119.642   -127.593    -28.289    174.066     93.397
      0.003    -98.685   -119.468   -127.500    -28.218    174.138     93.481
      0.004    -98.713   -119.294   -127.406    -28.147    174.211     93.565
      0.005    -98.741   -119.119   -127.313    -28.076    174.284     93.649
      0.006    -98.769   -118.945   -127.219    -28.005    174.357     93.733
      0.007    -98.797   -118.771   -127.125    -27.933    174.430     93.817
      0.008    -98.825   -118.596   -127.031    -27.862    174.503     93.901
      0.009    -98.853   -118.422   -126.938    -27.790    174.576     93.985
      0.010    -98.881   -118.247   -126.844    -27.718    174.649     94.070
      0.011    -98.908   -118.072   -126.749    -27.646    174.722     94.154
      0.012    -98.936   -117.898   -126.655    -27.574    174.795     94.239
      0.013    -98.964   -117.723   -126.561    -27.502    174.868     94.324
      0.014    -98.991   -117.548   -126.467    -27.429    174.941     94.409
      0.015    -99.018   -117.373   -126.372    -27.357    175.014     94.493
      0.016    -99.046   -117.198   -126.278    -27.284    175.087     94.578
      0.017    -99.073   -117.023   -126.183    -27.211    175.160     94.664
      0.018    -99.100   -116.848   -126.088    -27.138    175.234     94.749
      0.019    -99.127   -116.672   -125.993    -27.065    175.307     94.834
      0.020    -99.154   -116.497   -125.899    -26.991    175.380     94.920
      0.021    -99.181   -116.322   -125.804    -26.918    175.453     95.005
      0.022    -99.208   -116.146   -125.709    -26.844    175.527     95.091
      0.023    -99.235   -115.971   -125.613    -26.770    175.600     95.176
      0.024    -99.262   -115.795   -125.518    -26.696    175.673     95.262
      0.025    -99.288   -115.619   -125.423    -26.622    175.747     95.348
      0.026    -99.315   -115.443   -125.328    -26.548    175.820     95.434
      0.027    -99.341   -115.268   -125.232    -26.473    175.894     95.520
      0.028    -99.368   -115.092   -125.136    -26.399    175.967     95.607
      0.029    -99.394   -114.916   -125.041    -26.324    176.040     95.693
      0.030    -99.421   -114.740   -124.945    -26.249    176.114     95.779
      0.031    -99.447   -114.563   -124.849    -26.174    176.188     95.866
      0.032    -99.473   -114.387   -124.753    -26.099    176.261     95.952
      0.033    -99.499   -114.211   -124.657    -26.023    176.335     96.039
      0.034    -99.525   -114.035   -124.561    -25.947    176.408     96.126
      0.035    -99.551   -113.858   -124.465    -25.872    176.482     96.213
      0.036    -99.577   -113.682   -124.369    -25.796    176.555     96.300
      0.037    -99.602   -113.505   -124.273    -25.720    176.629     96.387
      0.038    -99.628   -113.328   -124.176    -25.643    176.703     96.474
      0.039    -99.654   -113.152   -124.080    -25.567    176.777     96.562
      0.040    -99.679   -112.975   -123.983    -25.490    176.850     96.649
      0.041    -99.705   -112.798   -123.886    -25.414    176.924     96.737
      0.042    -99.730   -112.621   -123.789    -25.337    176.998     96.824
      0.043    -99.755   -112.444   -123.693    -25.260    177.072     96.912
      0.044    -99.781   -112.267   -123.596    -25.182    177.145     97.000
      0.045    -99.806   -112.090   -123.499    -25.105    177.219     97.088
      0.046    -99.831   -111.912   -123.401    -25.028    177.293     97.176
      0.047    -99.856   -111.735   -123.304    -24.950    177.367     97.264
      0.048    -99.881   -111.558   -123.207    -24.872    177.441     97.352
      0.049    -99.906   -111.380   -123.110    -24.794    177.515     97.441
      0.050    -99.930   -111.203   -123.012    -24.716    177.589     97.529
      0.051    -99.955   -111.025   -122.914    -24.637    177.663     97.618
      0.052    -99.980   -110.847   -122.817    -24.559    177.737     97.707
      0.053   -100.004   -110.669   -122.719    -24.480    177.811     97.795
      0.054   -100.029   -110.492   -122.621    -24.401    177.885     97.884
      0.055   -100.053   -110.314   -122.523    -24.322    177.959     97.973
      0.056   -100.077   -110.136   -122.425    -24.243    178.033     98.062
      0.057   -100.101   -109.958   -122.327    -24.163    178.107     98.152
      0.058   -100.125   -109.779   -122.229    -24.084    178.181     98.241
      0.059   -100.150   -109.601   -122.131    -24.004    178.255     98.330
      0.060   -100.173   -109.423   -122.032    -23.924    178.330     98.420
      0.061   -100.197   -109.245   -121.934    -23.844    178.404     98.510
      0.062   -100.221   -109.066   -121.835    -23.763    178.478     98.599
      0.063   -100.245   -108.888   -121.737    -23.683    178.552     98.689
      0.064   -100.269   -108.709   -121.638    -23.602    178.627     98.779
      0.065   -100.292   -108.530   -121.539    -23.521    178.701     98.869
      0.066   -100.316   -108.352   -121.440    -23.440    178.775     98.960
      0.067   -100.339   -108.173   -121.341    -23.359    178.849     99.050
